ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-08-30T00:05:57+00:00,2026,102,6992,bs,MLB,승패,2,,토론블루 2,13 캔자로얄,08.28(금) 08:07,"1.77,1.75",홈패
2026-08-30T00:05:57+00:00,2026,102,6993,bs,MLB,승①패,3,승①패,토론블루 2,13 캔자로얄,08.28(금) 08:07,"2.55,3.25,2.22",홈패
2026-08-30T00:05:57+00:00,2026,102,6994,bs,MLB,핸디캡,2,H +2.5,토론블루 4.5,13 캔자로얄,08.28(금) 08:07,"1.25,2.97",핸디패
2026-08-30T00:05:57+00:00,2026,102,6995,bs,MLB,언더오버,2,U 8.5,토론블루,캔자로얄,08.28(금) 08:07,"1.66,1.87",오버
2026-08-30T00:05:57+00:00,2026,102,6996,bs,MLB,홀짝,2,,토론블루,캔자로얄,08.28(금) 08:07,"1.58,2.09",홀
2026-08-30T00:05:57+00:00,2026,102,6997,bs,MLB,승패,2,,뉴욕메츠 2,8 밀워브루,08.28(금) 08:10,"2.72,1.3",홈패
2026-08-30T00:05:57+00:00,2026,102,6998,bs,MLB,승①패,3,승①패,뉴욕메츠 2,8 밀워브루,08.28(금) 08:10,"4.6,3.5,1.55",홈패
2026-08-30T00:05:57+00:00,2026,102,6999,bs,MLB,핸디캡,2,H +2.5,뉴욕메츠 4.5,8 밀워브루,08.28(금) 08:10,"1.59,1.97",핸디패
2026-08-30T00:05:57+00:00,2026,102,7000,bs,MLB,언더오버,2,U 7.5,뉴욕메츠,밀워브루,08.28(금) 08:10,"1.7,1.82",오버
2026-08-30T00:05:57+00:00,2026,102,7001,bs,MLB,홀짝,2,,뉴욕메츠,밀워브루,08.28(금) 08:10,"1.6,2.06",짝
2026-08-30T00:05:57+00:00,2026,102,7003,bk,남농월예,핸디캡,2,H +24.5,칠레M 95.5,89 미국M,08.28(금) 08:10,"1.78,1.74",핸디승
2026-08-30T00:05:57+00:00,2026,102,7004,bk,남농월예,언더오버,2,U 178.5,칠레M,미국M,08.28(금) 08:10,"1.73,1.79",언더
2026-08-30T00:05:57+00:00,2026,102,7005,bk,남농월예,홀짝,2,,칠레M,미국M,08.28(금) 08:10,"1.8,1.8",짝
2026-08-30T00:05:57+00:00,2026,102,7006,bk,남농월예,승패,2,,브라질M 90,94 도미공M,08.28(금) 08:10,"1.38,2.43",홈패
2026-08-30T00:05:57+00:00,2026,102,7007,bk,남농월예,핸디캡,2,H -5.5,브라질M 84.5,94 도미공M,08.28(금) 08:10,"1.75,1.77",핸디패
2026-08-30T00:05:57+00:00,2026,102,7008,bk,남농월예,언더오버,2,U 171.5,브라질M,도미공M,08.28(금) 08:10,"1.75,1.77",오버
2026-08-30T00:05:57+00:00,2026,102,7009,bk,남농월예,홀짝,2,,브라질M,도미공M,08.28(금) 08:10,"1.8,1.8",짝
2026-08-30T00:05:57+00:00,2026,102,7010,bk,남농월예,승패,2,,우루과M 94,103 바하마M,08.28(금) 08:10,"2.11,1.51",홈패
2026-08-30T00:05:57+00:00,2026,102,7011,bk,남농월예,핸디캡,2,H +2.5,우루과M 96.5,103 바하마M,08.28(금) 08:10,"1.8,1.72",핸디패
2026-08-30T00:05:57+00:00,2026,102,7012,bk,남농월예,언더오버,2,U 178.5,우루과M,바하마M,08.28(금) 08:10,"1.73,1.79",오버
2026-08-30T00:05:57+00:00,2026,102,7013,bk,남농월예,홀짝,2,,우루과M,바하마M,08.28(금) 08:10,"1.8,1.8",홀
2026-08-30T00:05:57+00:00,2026,102,7014,bs,MLB,승패,2,,애틀브레 1,0 LA다저스,08.28(금) 08:15,"1.75,1.77",홈승
2026-08-30T00:05:57+00:00,2026,102,7015,bs,MLB,승①패,3,승①패,애틀브레 1,0 LA다저스,08.28(금) 08:15,"2.55,3.15,2.27",①
2026-08-30T00:05:57+00:00,2026,102,7016,bs,MLB,핸디캡,2,H -2.5,애틀브레 -1.5,0 LA다저스,08.28(금) 08:15,"3.65,1.16",핸디패
2026-08-30T00:05:57+00:00,2026,102,7017,bs,MLB,언더오버,2,U 7.5,애틀브레,LA다저스,08.28(금) 08:15,"1.5,2.13",언더
2026-08-30T00:05:57+00:00,2026,102,7018,bs,MLB,홀짝,2,,애틀브레,LA다저스,08.28(금) 08:15,"1.58,2.09",홀
2026-08-30T00:05:57+00:00,2026,102,7019,bk,남농월예,승패,2,,멕시코M 112,86 콜롬비M,08.28(금) 11:10,"1.24,3.03",홈승
2026-08-30T00:05:57+00:00,2026,102,7020,bk,남농월예,핸디캡,2,H -6.5,멕시코M 105.5,86 콜롬비M,08.28(금) 11:10,"1.71,1.81",핸디승
2026-08-30T00:05:57+00:00,2026,102,7021,bk,남농월예,언더오버,2,U 165.5,멕시코M,콜롬비M,08.28(금) 11:10,"1.77,1.75",오버
2026-08-30T00:05:57+00:00,2026,102,7022,bk,남농월예,홀짝,2,,멕시코M,콜롬비M,08.28(금) 11:10,"1.8,1.8",짝
2026-08-30T00:05:57+00:00,2026,102,7024,bk,남농월예,핸디캡,2,H +30.5,파나마M 96.5,86 캐나다M,08.28(금) 10:40,"1.76,1.76",핸디승
2026-08-30T00:05:57+00:00,2026,102,7025,bk,남농월예,언더오버,2,U 176.5,파나마M,캐나다M,08.28(금) 10:40,"1.77,1.75",언더
2026-08-30T00:05:57+00:00,2026,102,7026,bk,남농월예,홀짝,2,,파나마M,캐나다M,08.28(금) 10:40,"1.8,1.8",짝
2026-08-30T00:05:57+00:00,2026,102,7027,bs,MLB,승패,2,,샌프자이 6,1 애리다이,08.28(금) 10:45,"1.82,1.7",홈승
2026-08-30T00:05:57+00:00,2026,102,7028,bs,MLB,승①패,3,승①패,샌프자이 6,1 애리다이,08.28(금) 10:45,"2.65,3.25,2.15",홈승
2026-08-30T00:05:57+00:00,2026,102,7029,bs,MLB,핸디캡,2,H +2.5,샌프자이 8.5,1 애리다이,08.28(금) 10:45,"1.27,2.87",핸디승
2026-08-30T00:05:57+00:00,2026,102,7030,bs,MLB,언더오버,2,U 7.5,샌프자이,애리다이,08.28(금) 10:45,"2.02,1.56",언더
2026-08-30T00:05:57+00:00,2026,102,7031,bs,MLB,홀짝,2,,샌프자이,애리다이,08.28(금) 10:45,"1.58,2.09",홀
2026-08-30T00:05:57+00:00,2026,102,7032,bs,MLB,전반승무패,3,h(전반),샌프자이 2,1 애리다이,08.28(금) 10:45,"2.15,4.95,2.07",홈승
2026-08-30T00:05:57+00:00,2026,102,7033,bs,MLB,전반핸디캡,2,h H +1.5,샌프자이 3.5,1 애리다이,08.28(금) 10:45,"1.26,2.92",핸디승
2026-08-30T00:05:57+00:00,2026,102,7034,bs,MLB,전반언더오버,2,h U 4.5,샌프자이,애리다이,08.28(금) 10:45,"1.78,1.74",언더
2026-08-30T00:05:57+00:00,2026,102,7035,bk,남농월예,승패,2,,이란M 91,93 뉴질랜M,08.28(금) 15:00,"2.87,1.27",홈패
2026-08-30T00:05:57+00:00,2026,102,7036,bk,남농월예,핸디캡,2,H +5.5,이란M 96.5,93 뉴질랜M,08.28(금) 15:00,"1.82,1.7",핸디승
2026-08-30T00:05:57+00:00,2026,102,7037,bk,남농월예,언더오버,2,U 158.5,이란M,뉴질랜M,08.28(금) 15:00,"1.74,1.78",오버
