ts,year,round,game_no,sport,league,market_family,n_way,market_label,home,away,date_text,odds,result
2026-07-29T00:05:19+00:00,2026,88,9004,bs,MLB,승패,2,,필라필리 11,4 뉴욕양키,07.27(월) 08:20,"1.45,2.24",홈승
2026-07-29T00:05:19+00:00,2026,88,9005,bs,MLB,승①패,3,승①패,필라필리 11,4 뉴욕양키,07.27(월) 08:20,"1.97,3.30,2.95",홈승
2026-07-29T00:05:19+00:00,2026,88,9006,bs,MLB,핸디캡,2,H -2.5,필라필리 8.5,4 뉴욕양키,07.27(월) 08:20,"2.64,1.32",핸디승
2026-07-29T00:05:19+00:00,2026,88,9007,bs,MLB,언더오버,2,U 7.5,필라필리,뉴욕양키,07.27(월) 08:20,"1.89,1.65",오버
2026-07-29T00:05:19+00:00,2026,88,9008,bs,MLB,홀짝,2,,필라필리,뉴욕양키,07.27(월) 08:20,"1.55,2.04",홀
2026-07-29T00:05:19+00:00,2026,88,9009,bs,MLB,승무패,3,h(전반),필라필리 6,3 뉴욕양키,07.27(월) 08:20,"1.75,5.20,2.60",홈승
2026-07-29T00:05:19+00:00,2026,88,9010,bs,MLB,핸디캡,2,h H -1.5,필라필리 4.5,3 뉴욕양키,07.27(월) 08:20,"2.26,1.44",핸디승
2026-07-29T00:05:19+00:00,2026,88,9011,bs,MLB,언더오버,2,h U 4.5,필라필리,뉴욕양키,07.27(월) 08:20,"1.65,1.89",오버
2026-07-29T00:05:19+00:00,2026,88,9012,sc,엘리테세,승무패,3,,로센보르 4,0 프레드릭,07.28(화) 02:00,"1.47,3.95,4.65",홈승
2026-07-29T00:05:19+00:00,2026,88,9013,sc,엘리테세,핸디캡,3,H -1.0,로센보르 3,0 프레드릭,07.28(화) 02:00,"2.45,3.20,2.33",핸디승
2026-07-29T00:05:19+00:00,2026,88,9014,sc,엘리테세,언더오버,2,U 2.5,로센보르,프레드릭,07.28(화) 02:00,"1.94,1.61",오버
2026-07-29T00:05:19+00:00,2026,88,9015,sc,엘리테세,홀짝,2,,로센보르,프레드릭,07.28(화) 02:00,"1.77,1.75",짝
2026-07-29T00:05:19+00:00,2026,88,9016,bs,MLB,승패,2,,텍사레인 7,3 시애매리,07.28(화) 03:35,"2.00,1.57",홈승
2026-07-29T00:05:19+00:00,2026,88,9017,bs,MLB,승①패,3,승①패,텍사레인 7,3 시애매리,07.28(화) 03:35,"3.05,3.25,1.95",홈승
